i,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
130,3.718,1.353,1.909,1.858,0.731,0.688,1.0,0.806,0.133,0.0,-0.0,0.0,-0.29,0.554,0.098,0.001,8,0.5,1000,50,NONE
131,3.391,1.368,1.907,1.85,0.711,0.375,1.0,0.647,0.133,-0.027,-0.054,0.0,-0.071,0.477,0.2,0.001,8,0.5,1000,50,NONE
132,3.391,1.367,1.904,1.829,0.711,0.375,1.0,0.647,0.133,-0.027,-0.054,0.0,-0.071,0.477,0.2,0.001,8,0.5,1000,50,NONE
133,3.267,1.392,1.909,1.836,0.727,0.625,1.0,0.675,0.133,0.0,-0.065,0.0,-0.325,0.353,0.143,0.001,8,0.5,1000,50,NONE
134,3.333,1.407,1.922,1.864,0.752,0.812,1.0,0.525,0.1,0.0,-0.065,0.0,-0.325,0.319,0.214,0.001,8,0.5,1000,50,NONE
135,3.343,1.432,1.931,1.869,0.6,0.562,1.0,0.5,0.3,-0.027,-0.0,0.0,-0.165,0.415,0.157,0.001,8,0.5,1000,50,NONE
136,3.25,1.438,1.948,1.894,0.709,0.5,1.0,0.6,0.067,0.0,-0.0,0.0,-0.224,0.376,0.222,0.001,8,0.5,1000,50,NONE
137,3.235,1.426,1.945,1.883,0.743,0.375,1.0,0.75,0.1,-0.039,-0.0,0.0,-0.398,0.581,0.123,0.001,8,0.5,1000,50,NONE
138,3.235,1.375,1.93,1.858,0.743,0.375,1.0,0.75,0.1,-0.039,-0.0,0.0,-0.398,0.581,0.123,0.001,8,0.5,1000,50,NONE
139,3.388,1.368,1.936,1.866,0.721,0.625,0.5,0.786,0.267,0.0,-0.0,0.0,-0.079,0.382,0.187,0.001,8,0.5,1000,50,NONE
140,3.09,1.402,1.935,1.877,0.485,0.25,1.0,0.55,0.267,0.0,-0.019,0.0,-0.173,0.495,0.235,0.001,8,0.5,1000,50,NONE
141,3.253,1.41,1.945,1.886,0.612,0.562,1.0,0.6,0.1,0.0,-0.0,0.0,-0.242,0.426,0.194,0.001,8,0.5,1000,50,NONE
142,3.334,1.384,1.932,1.883,0.616,0.625,1.0,0.767,0.067,0.0,-0.045,0.0,-0.268,0.429,0.143,0.001,8,0.5,1000,50,NONE
143,3.253,1.395,1.933,1.891,0.612,0.562,1.0,0.6,0.1,0.0,-0.0,0.0,-0.242,0.426,0.194,0.001,8,0.5,1000,50,NONE
144,3.253,1.399,1.941,1.891,0.612,0.562,1.0,0.6,0.1,0.0,-0.0,0.0,-0.242,0.426,0.194,0.001,8,0.5,1000,50,NONE
145,3.59,1.434,1.944,1.884,0.648,0.625,1.0,0.7,0.1,0.0,-0.053,0.0,-0.136,0.478,0.229,0.001,8,0.5,1000,50,NONE
146,3.218,1.43,1.937,1.869,0.606,0.438,1.0,0.7,0.033,0.0,-0.0,0.0,-0.273,0.611,0.103,0.001,8,0.5,1000,50,NONE
147,3.245,1.404,1.924,1.858,0.674,0.375,1.0,0.647,0.0,-0.025,-0.025,0.0,-0.191,0.708,0.081,0.001,8,0.5,1000,50,NONE
148,3.623,1.416,1.924,1.862,0.751,0.438,1.0,0.893,0.067,-0.023,-0.0,0.0,-0.165,0.544,0.12,0.001,8,0.5,1000,50,NONE
149,3.59,1.432,1.929,1.856,0.751,0.438,1.0,0.857,0.067,-0.023,-0.0,0.0,-0.165,0.544,0.123,0.001,8,0.5,1000,50,NONE
